0021, 05df
0022, 05b8
0023, 05e5
0024, 05da
0025, 05da 05b0
0026, 05da 05bc
0027, 05b8
0028, 05bd
0029, 05bd
002a, 05bd
002b, 0591
002c, 05b6
002d, 05be
002e, 05b0
002f, 05b1
0030, 0030
003a, 05b7
003b, 05b7
003c, 05b6
003d, 0591
003e, 05b0
003f, 05b1
0040, 05e3
0041, 05d5 05b9
0042, 05d1 05bc
0043, 05e6 05bc
0044, 05d3 05bc
0045, 05b5
0046, 05e9 05bc 05c2
0047, 05d2 05bc
0048, 05d4 05bc
0049, 05b4
004a, 05d8 05bc
004b, 05db 05bc
004c, 05dc 05bc
004d, 05de 05bc
004e, 05e0 05bc
004f, 05b9
0050, 05e4 05bc
0051, 05e7 05bc
0052, 05e8 05bc
0053, 05e1 05bc
0054, 05ea 05bc
0055, 05bb
0056, 05e9 05bc 05c1
0057, 05d5 05bc
0058, 05e9
0059, 05d9 05bc
005a, 05d6 05bc
005b, 05e2
005c, 05b3
005d, 05b2
005e, 05da 05b8
005f, 0591
0060, 05c3
0061, 05d0
0062, 05d1
0063, 05e6
0064, 05d3
0065, 05b5
0066, 05e9 05c2
0067, 05d2
0068, 05d4
0069, 05b4
006a, 05d8
006b, 05db
006c, 05dc
006d, 05de
006e, 05e0
006f, 05b9
0070, 05e4
0071, 05e7
0072, 05e8
0073, 05e1
0074, 05ea
0075, 05bb
0076, 05e9 05c1
0077, 05d5
0078, 05d7
0079, 05d9
007a, 05d6
007b, 05b9
007c, 05b3
007d, 05b2
007e, 05dd
20ac, 0597
201a, 05d0 05bc
2026, 059a
2020, 05bd
2021, 05a1
02c6, 059b
2030, 0591
0160, 05a7
2039, 05af
0152, 2032
2018, 0599
2019, 0599
201c, 05a8
201d, 05a9
2022, 05a9
2013, 05a6
2014, 05aa
02dc, 05b9
2122, 05b9
0161, 05af
203a, 05af
017e, 05c6
0178, 05c0
00a1, 059f
00a2, 05a6
00a5, 05bd
00a6, 0593
00a7, 0595
00a8, 0595
00a9, 0597
00aa, 0597
00ab, 0598
00ac, 0598
00ad, 05e3 05bc
00af, 05c5
00b0, 059b
00b1, 059b
00b2, 059b
00b3, 05a1
00db, 05a4
00dc, 05a4
00dd, 05a4
00de, 0596
00df, 0596
00e0, 0596
00e1, 05aa
00e2, 05ad
00e3, 05bf
00e4, 05a3
00e5, 05a3
00e6, 05a3
00e7, 05aa
00e8, 0592
00e9, 05ae
00ea, 0594
00eb, 0594
00ec, 05ac
00ed, 05ac
00ee, 05a5
00ef, 05a5
00f0, 05a5
00f1, 05ab
00f2, 05ab
00f3, 05a7
00f4, 05a7
00f5, 05a7
00f6, 05aa
00f7, 059d
00f8, 059c
00f9, 059e
00fa, 059e
00fb, 05a0
00fc, 05a0
00fd, 05a6
